City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Okitipupa,NG,77.45,overcast clouds,6.5047,4.7839,Coastal Hotel & Suites
5,Butaritari,KI,81.32,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
14,Bambous Virieux,MU,82.99,scattered clouds,-20.3428,57.7575,Casa Tia Villa
16,Cairns,AU,90.0,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
17,Rikitea,PF,77.47,broken clouds,-23.1203,-134.9692,Pension Maro'i
18,Avarua,CK,84.2,scattered clouds,-21.2078,-159.775,Paradise Inn
19,Bundaberg,AU,82.0,broken clouds,-24.85,152.35,Takalvan Motel
21,Vaini,TO,77.0,moderate rain,-21.2,-175.2,Keleti Beach Resort
23,Hambantota,LK,84.2,clear sky,6.1241,81.1185,Bungalow 63
27,Fare,PF,81.34,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
29,Hithadhoo,MV,81.95,few clouds,-0.6,73.0833,Scoop Guest House
31,Touros,BR,80.6,few clouds,-5.1989,-35.4608,INN NEW HORIZON
36,Caravelas,BR,76.03,light rain,-17.7125,-39.2481,Pousada dos Navegantes
40,Lima,PE,75.0,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
41,Kahului,US,75.2,clear sky,20.8947,-156.47,Maui Seaside Hotel
44,Itarema,BR,77.43,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
47,Faanui,PF,82.04,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
48,Mataura,NZ,76.87,moderate rain,-46.1927,168.8643,Ellie's Villa
58,Souillac,MU,80.6,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
59,Hilo,US,77.0,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
63,Sri Aman,MY,84.2,scattered clouds,1.2376,111.4621,Seri Simanggang Hotel
69,Isangel,VU,86.0,scattered clouds,-19.55,169.2667,Volcano Sea View Tree House
77,Bodden Town,KY,79.0,clear sky,19.2833,-81.25,Will T Place
81,Sarangani,PH,82.09,overcast clouds,5.4033,125.4636,Ballistic Islet
90,Saint-Philippe,RE,84.2,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
91,Takoradi,GH,79.21,broken clouds,4.8845,-1.7554,Raybow International Hotel
92,Marsh Harbour,BS,75.22,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
94,Bubaque,GW,78.48,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
95,Pitimbu,BR,80.6,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
97,Beloha,MG,78.49,few clouds,-25.1667,45.05,
103,Georgetown,MY,87.8,few clouds,5.4112,100.3354,Cititel Penang
104,Puerto Ayora,EC,77.0,overcast clouds,-0.7393,-90.3518,Castillo Galapagos
105,Tura,IN,75.09,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
112,Beberibe,BR,80.6,scattered clouds,-4.1797,-38.1306,Villa Arte Pousada Morro Branco
120,Vanimo,PG,84.9,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
125,Atuona,PF,79.52,few clouds,-9.8,-139.0333,Villa Enata
128,Mount Isa,AU,89.6,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
134,La Asuncion,VE,76.21,few clouds,11.0333,-63.8628,Colinas de Matasiete
139,Oistins,BB,77.0,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
143,Lodwar,KE,80.58,overcast clouds,3.1191,35.5973,Turkwel Lodge
146,Mahebourg,MU,80.6,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
149,Tual,ID,83.61,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
150,Mana,GF,77.02,overcast clouds,5.6592,-53.7767,LE SAMANA
162,Vao,NC,78.64,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
170,Bengkulu,ID,85.19,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
177,Victoria,HK,77.0,few clouds,22.2855,114.1577,Mini Hotel Central
179,Tabou,CI,78.19,clear sky,4.423,-7.3528,hotêl doufoulougou
185,Dingle,PH,75.58,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
186,Flic En Flac,MU,82.99,scattered clouds,-20.2742,57.3631,Hilton Mauritius Resort & Spa
196,San Juan,AR,79.36,overcast clouds,-31.5375,-68.5364,Hotel Provincial
197,Labuhan,ID,83.26,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
198,Acapulco,MX,80.6,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
202,Port-Gentil,GA,81.32,light rain,-0.7193,8.7815,Fengshui Residence
206,Saint-Georges,GD,78.06,few clouds,12.0564,-61.7485,Siesta Hotel
216,Kavaratti,IN,81.84,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
217,Alofi,NU,86.0,broken clouds,-19.0595,-169.9187,Taloa Heights
