City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,51.8,87,75,5.75,broken clouds
1,Thompson,CA,55.7435,-97.8558,-27.4,68,75,14.97,snow
2,Sines,PT,37.9562,-8.8698,55.99,81,96,10.0,overcast clouds
3,Okitipupa,NG,6.5047,4.7839,77.45,95,95,1.43,overcast clouds
4,Muborak,UZ,39.2553,65.1528,54.9,57,100,8.72,overcast clouds
5,Butaritari,KI,3.0707,172.7902,81.32,80,32,17.25,scattered clouds
6,Kodiak,US,57.79,-152.4072,28.4,69,1,3.44,clear sky
7,Lerwick,GB,60.1545,-1.1494,32.54,89,95,7.2,overcast clouds
8,Bethel,US,41.3712,-73.414,28.99,64,90,13.8,overcast clouds
9,Tecolutla,MX,20.4833,-97.0167,72.64,80,97,7.36,overcast clouds
10,Busselton,AU,-33.65,115.3333,66.0,95,96,8.01,overcast clouds
11,Pevek,RU,69.7008,170.3133,-7.26,81,0,1.25,clear sky
12,Barrow,US,71.2906,-156.7887,-27.4,68,1,6.91,clear sky
13,Kapaa,US,22.0752,-159.319,71.6,56,75,5.75,broken clouds
14,Bambous Virieux,MU,-20.3428,57.7575,82.99,78,40,8.05,scattered clouds
15,Tasiilaq,GL,65.6145,-37.6368,28.4,46,20,20.71,few clouds
16,Cairns,AU,-16.9167,145.7667,90.0,74,40,8.05,scattered clouds
17,Rikitea,PF,-23.1203,-134.9692,77.47,72,76,14.34,broken clouds
18,Avarua,CK,-21.2078,-159.775,84.2,79,40,10.36,scattered clouds
19,Bundaberg,AU,-24.85,152.35,82.0,94,75,16.11,broken clouds
20,Castro,BR,-24.7911,-50.0119,53.37,81,0,5.88,clear sky
21,Vaini,TO,-21.2,-175.2,77.0,94,90,12.66,moderate rain
22,Jamestown,US,42.097,-79.2353,12.0,79,90,8.05,light snow
23,Hambantota,LK,6.1241,81.1185,84.2,79,0,12.66,clear sky
24,Jalu,LY,29.0331,21.5482,65.66,26,100,17.13,overcast clouds
25,Anadyr,RU,64.75,177.4833,8.6,56,100,22.37,snow
26,Torbay,CA,47.6666,-52.7314,30.99,74,90,9.22,overcast clouds
